serum,virus,replicate,nreplicates,ic50,ic50_bound,ic50_str,ic90,ic90_bound,ic90_str,ic99,ic99_bound,ic99_str,midpoint,slope,top,bottom
nAH1.3,NiV,average,2,0.023109422491625575,interpolated,0.0231,0.07368633441163897,interpolated,0.0737,0.2612028956585954,interpolated,0.261,0.023109422491625575,1.8948502066088988,1,0
m102.4,NiV,average,2,0.012267587546264818,interpolated,0.0123,0.03729061933591261,interpolated,0.0373,0.12546929049346875,interpolated,0.125,0.012267587546264818,1.976310286788505,1,0
HENV-26,NiV,average,2,0.013720425385156814,interpolated,0.0137,0.03503495928794926,interpolated,0.035,0.09745830901283493,interpolated,0.0975,0.013720425385156814,2.3438042850560135,1,0
HENV-32,NiV,average,2,0.14296998767434882,interpolated,0.143,0.5566868476952421,interpolated,0.557,2.4541137322104025,interpolated,2.45,0.14296998767434882,1.6163572740599712,1,0
HENV-103,NiV,average,2,0.06666933525278214,interpolated,0.0667,0.19174564256154997,interpolated,0.192,0.6073326760981956,interpolated,0.607,0.06666933525278214,2.079868792812729,1,0
HENV-117,NiV,average,2,0.011685936614666425,interpolated,0.0117,0.021844706453017688,interpolated,0.0218,0.043235596382761025,interpolated,0.0432,0.011685936614666425,3.512341993091998,1,0
EFNB2-monomeric,NiV,average,2,0.05347389867231139,interpolated,0.0535,0.14063013130700586,interpolated,0.141,0.4039869818277278,interpolated,0.404,0.05347389867231139,2.2723493512399955,1,0
EFNB3-dimeric,NiV,average,2,0.11702316673832833,interpolated,0.117,0.3662885109972845,interpolated,0.366,1.2724275089110573,interpolated,1.27,0.11702316673832833,1.9256174276960143,1,0
