serum,virus,replicate,nreplicates,ic50,ic50_bound,ic50_str,ic90,ic90_bound,ic90_str,ic99,ic99_bound,ic99_str,midpoint,slope,top,bottom
CHO-EFNB3,dimeric-bEFNB2,average,2,4.5e-05,upper,<4.5e-05,0.00012701379626416245,interpolated,0.000127,0.00040116777920740895,interpolated,0.000401,4.4276666486739856e-05,2.084973977382083,1,0
CHO-EFNB3,monomeric-bEFNB2,average,2,0.0008921885707301232,interpolated,0.000892,0.007237378635031449,interpolated,0.00724,0.07107805426451026,interpolated,0.0711,0.0008921885707301232,1.0496278166505013,1,0
CHO-EFNB3,dimeric-bEFNB3,average,2,0.0006104331254493918,interpolated,0.00061,0.0064331001701870534,interpolated,0.00643,0.08406445188019247,interpolated,0.0841,0.0006104331254493918,0.932986993478394,1,0
CHO-EFNB3,monomeric-bEFNB3,average,2,0.43478,lower,>0.435,0.43478,lower,>0.435,0.43478,lower,>0.435,26.501978152068194,0.3591843159673733,1,0
