serum,virus,replicate,nreplicates,ic50,ic50_bound,ic50_str,ic90,ic90_bound,ic90_str,ic99,ic99_bound,ic99_str,midpoint,slope,top,bottom
mRNA_p72_5min,NiV,average,2,3.249382330210504e-05,interpolated,3.25e-05,0.0002911572731726615,interpolated,0.000291,0.0031873495217592564,interpolated,0.00319,3.249382330210504e-05,1.0020115789289135,1,0
mRNA_p72_60min,NiV,average,2,3.8145767406565575e-05,interpolated,3.81e-05,0.00037787270067196274,interpolated,0.000378,0.004615293474182815,interpolated,0.00462,3.8145767406565575e-05,0.958171817604667,1,0
mRNA_p72_120min,NiV,average,2,3.5725638973334484e-05,interpolated,3.57e-05,0.00035992976189212035,interpolated,0.00036,0.004477961793165261,interpolated,0.00448,3.5725638973334484e-05,0.9511628780566059,1,0
