serum,virus,replicate,nreplicates,ic50,ic50_bound,ic50_str,ic90,ic90_bound,ic90_str,ic99,ic99_bound,ic99_str,midpoint,slope,top,bottom
CHO-EFNB2,dimeric-bEFNB2,average,2,5.780743071584893e-05,interpolated,5.78e-05,0.00021403293975775307,interpolated,0.000214,0.0008930955388104655,interpolated,0.000893,5.780743071584893e-05,1.6785358491213538,1,0
CHO-EFNB2,monomeric-bEFNB2,average,2,0.0022406431961363694,interpolated,0.00224,0.014145899919532724,interpolated,0.0141,0.10567575157643355,interpolated,0.106,0.0022406431961363694,1.1924187651782974,1,0
CHO-EFNB2,dimeric-bEFNB3,average,2,0.0009300917993175142,interpolated,0.00093,0.006296053367244002,interpolated,0.0063,0.05075323746293228,interpolated,0.0508,0.0009300917993175142,1.1489386892686735,1,0
CHO-EFNB2,monomeric-bEFNB3,average,2,0.43478,lower,>0.435,0.43478,lower,>0.435,0.43478,lower,>0.435,6.635568795586184,0.765178735131843,1,0
