serum,virus,replicate,nreplicates,ic50,ic50_bound,ic50_str,ic90,ic90_bound,ic90_str,ic99,ic99_bound,ic99_str,midpoint,slope,top,bottom
NiV-sG_Pig42,NiV,average,2,5.302566775174212e-05,interpolated,5.3e-05,0.00020451170187402997,interpolated,0.000205,0.0008922576133970369,interpolated,0.000892,5.302566775174212e-05,1.627755705249176,1,0
NiV-sG_Pig47,NiV,average,2,0.00010535936904134884,interpolated,0.000105,0.00064240581956939,interpolated,0.000642,0.0046201025832298195,interpolated,0.00462,0.00010535936904134884,1.215384517090875,1,0
NiV-sG_Pig53,NiV,average,2,0.00022754640276088613,interpolated,0.000228,0.0011332229492380362,interpolated,0.00113,0.006534909682922674,interpolated,0.00653,0.00022754640276088613,1.3685892048525385,1,0
NiV-sG_Pig58,NiV,average,2,5.5639961653510614e-05,interpolated,5.56e-05,0.00030412164334186776,interpolated,0.000304,0.0019412334064008783,interpolated,0.00194,5.5639961653510614e-05,1.2936066130202468,1,0
