serum,virus,replicate,nreplicates,ic50,ic50_bound,ic50_str,ic90,ic90_bound,ic90_str,ic99,ic99_bound,ic99_str,midpoint,slope,top,bottom
mRNA-74,NiV,average,2,2.3352911101209197e-05,interpolated,2.34e-05,8.80439757979948e-05,interpolated,8.8e-05,0.0003747111526835361,interpolated,0.000375,2.3352911101209197e-05,1.6556402157949544,1,0
mRNA-75,NiV,average,2,2.290930633822198e-05,interpolated,2.29e-05,9.522150545778019e-05,interpolated,9.52e-05,0.00045078101218108067,interpolated,0.000451,2.290930633822198e-05,1.5422771567632632,1,0
NiVsG-61,NiV,average,2,2.2222829266030832e-05,interpolated,2.22e-05,8.804977402236241e-05,interpolated,8.8e-05,0.0003956083878506731,interpolated,0.000396,2.2222829266030832e-05,1.5959130187248678,1,0
