serum,virus,replicate,nreplicates,ic50,ic50_bound,ic50_str,ic90,ic90_bound,ic90_str,ic99,ic99_bound,ic99_str,midpoint,slope,top,bottom
bEFNB2_5min,NiV,average,2,0.001873548729336084,interpolated,0.00187,0.007047776797327882,interpolated,0.00705,0.029921882983144653,interpolated,0.0299,0.001873548729336084,1.658435563208787,1,0
bEFNB2_60min,NiV,average,2,0.002197763128869988,interpolated,0.0022,0.007379708732869888,interpolated,0.00738,0.02767846684778021,interpolated,0.0277,0.002197763128869988,1.8139480746200427,1,0
bEFNB2_120min,NiV,average,2,0.002919831931459418,interpolated,0.00292,0.008964826339235744,interpolated,0.00896,0.030494394966127405,interpolated,0.0305,0.002919831931459418,1.958690055107949,1,0
