serum,virus,ic50_ng,ic90_ng,ic99_ng
nAH1.3,NiV,23.1,73.7,261.2
m102.4,NiV,12.3,37.3,125.5
HENV-26,NiV,13.7,35.0,97.5
HENV-32,NiV,143.0,556.7,2454.1
HENV-103,NiV,66.7,191.7,607.3
HENV-117,NiV,11.7,21.8,43.2
EFNB2-monomeric,NiV,53.5,140.6,404.0
EFNB3-dimeric,NiV,117.0,366.3,1272.4
