serum,virus,replicate,nreplicates,ic50,ic50_bound,ic50_str,ic90,ic90_bound,ic90_str,ic99,ic99_bound,ic99_str,midpoint,slope,top,bottom
HeVsG_p44-5min,NiV,average,2,0.00010307021575224325,interpolated,0.000103,0.0018205132666900968,interpolated,0.00182,0.04179723236289283,interpolated,0.0418,0.00010307021575224325,0.7651933364233412,1,0
HeVsG_p44-60min,NiV,average,2,0.00012490407490523846,interpolated,0.000125,0.0017672412099708336,interpolated,0.00177,0.031849988806765386,interpolated,0.0318,0.00012490407490523846,0.829257468122944,1,0
HeVsG_p44-120min,NiV,average,2,0.00015524795810228887,interpolated,0.000155,0.0016111900343385138,interpolated,0.00161,0.020704708102298987,interpolated,0.0207,0.00015524795810228887,0.9391033463320019,1,0
