serum,virus,replicate,concentration,fraction infectivity
CHO-EFNB2,dimeric-bEFNB2,1,0.098039,0.00002
CHO-EFNB2,dimeric-bEFNB2,1,0.03268,0.00003
CHO-EFNB2,dimeric-bEFNB2,1,0.010893,0
CHO-EFNB2,dimeric-bEFNB2,1,0.003631,0.00055
CHO-EFNB2,dimeric-bEFNB2,1,0.00121,0.0001
CHO-EFNB2,dimeric-bEFNB2,1,0.000403,0.00188
CHO-EFNB2,dimeric-bEFNB2,1,0.000134,0.17748
CHO-EFNB2,dimeric-bEFNB2,1,0.000045,0.5994
CHO-EFNB2,dimeric-bEFNB2,2,0.098039,0.00002
CHO-EFNB2,dimeric-bEFNB2,2,0.03268,0.00003
CHO-EFNB2,dimeric-bEFNB2,2,0.010893,0.00003
CHO-EFNB2,dimeric-bEFNB2,2,0.003631,0.00017
CHO-EFNB2,dimeric-bEFNB2,2,0.00121,0.00124
CHO-EFNB2,dimeric-bEFNB2,2,0.000403,0.00274
CHO-EFNB2,dimeric-bEFNB2,2,0.000134,0.24737
CHO-EFNB2,dimeric-bEFNB2,2,0.000045,0.59678
CHO-EFNB2,monomeric-bEFNB2,1,0.43478,0.00363
CHO-EFNB2,monomeric-bEFNB2,1,0.14493,0.0101
CHO-EFNB2,monomeric-bEFNB2,1,0.04831,0.02605
CHO-EFNB2,monomeric-bEFNB2,1,0.0161,0.07792
CHO-EFNB2,monomeric-bEFNB2,1,0.00537,0.22795
CHO-EFNB2,monomeric-bEFNB2,1,0.00179,0.63159
CHO-EFNB2,monomeric-bEFNB2,1,0.0006,0.83833
CHO-EFNB2,monomeric-bEFNB2,1,0.0002,0.95453
CHO-EFNB2,monomeric-bEFNB2,2,0.43478,0.00358
CHO-EFNB2,monomeric-bEFNB2,2,0.14493,0.0066
CHO-EFNB2,monomeric-bEFNB2,2,0.04831,0.02207
CHO-EFNB2,monomeric-bEFNB2,2,0.0161,0.07665
CHO-EFNB2,monomeric-bEFNB2,2,0.00537,0.22807
CHO-EFNB2,monomeric-bEFNB2,2,0.00179,0.59736
CHO-EFNB2,monomeric-bEFNB2,2,0.0006,0.79646
CHO-EFNB2,monomeric-bEFNB2,2,0.0002,0.8125
CHO-EFNB2,dimeric-bEFNB3,1,0.098039,0.0043
CHO-EFNB2,dimeric-bEFNB3,1,0.03268,0.00705
CHO-EFNB2,dimeric-bEFNB3,1,0.010893,0.02157
CHO-EFNB2,dimeric-bEFNB3,1,0.003631,0.12452
CHO-EFNB2,dimeric-bEFNB3,1,0.00121,0.44752
CHO-EFNB2,dimeric-bEFNB3,1,0.000403,0.73316
CHO-EFNB2,dimeric-bEFNB3,1,0.000134,0.84476
CHO-EFNB2,dimeric-bEFNB3,1,0.000045,0.91036
CHO-EFNB2,dimeric-bEFNB3,2,0.098039,0.00636
CHO-EFNB2,dimeric-bEFNB3,2,0.03268,0.00791
CHO-EFNB2,dimeric-bEFNB3,2,0.010893,0.02987
CHO-EFNB2,dimeric-bEFNB3,2,0.003631,0.12836
CHO-EFNB2,dimeric-bEFNB3,2,0.00121,0.47427
CHO-EFNB2,dimeric-bEFNB3,2,0.000403,0.77907
CHO-EFNB2,dimeric-bEFNB3,2,0.000134,0.86898
CHO-EFNB2,dimeric-bEFNB3,2,0.000045,0.82763
CHO-EFNB2,monomeric-bEFNB3,1,0.43478,0.90852
CHO-EFNB2,monomeric-bEFNB3,1,0.14493,0.93393
CHO-EFNB2,monomeric-bEFNB3,1,0.04831,1.01306
CHO-EFNB2,monomeric-bEFNB3,1,0.0161,0.9941
CHO-EFNB2,monomeric-bEFNB3,1,0.00537,1.0033
CHO-EFNB2,monomeric-bEFNB3,1,0.00179,1.0236
CHO-EFNB2,monomeric-bEFNB3,1,0.0006,0.98085
CHO-EFNB2,monomeric-bEFNB3,1,0.0002,0.91519
CHO-EFNB2,monomeric-bEFNB3,2,0.43478,0.88449
CHO-EFNB2,monomeric-bEFNB3,2,0.14493,0.92005
CHO-EFNB2,monomeric-bEFNB3,2,0.04831,0.9612
CHO-EFNB2,monomeric-bEFNB3,2,0.0161,0.99724
CHO-EFNB2,monomeric-bEFNB3,2,0.00537,1.00738
CHO-EFNB2,monomeric-bEFNB3,2,0.00179,1.04087
CHO-EFNB2,monomeric-bEFNB3,2,0.0006,1.09469
CHO-EFNB2,monomeric-bEFNB3,2,0.0002,0.92763
